id,Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Latitude_Longitude_Points,color,strokeColor
48,LOY,PB,PB Building,PB Building,7200 Sherbrooke W,45.456534,-73.638106,"[(45.45661829597431, -73.63817015506373),(45.45653739429417, -73.63796094275403),(45.4564395595492, -73.63803872681791),(45.4565166984969, -73.6382479391276)]","rgba(255, 0, 0, 0.35)",red
49,LOY,PC,PC Building,PERFORM centre,7200 Sherbrooke W,45.456534,-73.638106,"[(45.457019039800535, -73.63784024337647),(45.45668414609923, -73.6369899830922),(45.456949427228615, -73.63677808857342),(45.45728620076527, -73.63763103106677)]","rgba(218, 58, 22, 0.35)",orange
50,SGW,PR,PR Building,PR Annex,2100 Mackay Street,45.497066,-73.57979,"[(45.496916,-73.579944),(45.496995,-73.579869),(45.496968,-73.579783),(45.496889,-73.579858
),(45.496916,-73.579944)]","rgba(255, 0, 0, 0.35)
",red
51,LOY,PS,PS Building,Physical Services Building,7141 Sherbrooke W,45.459636,-73.639758,"[(45.459434454829875, -73.6396786777205),(45.459455739748144, -73.6396521252051),(45.45940917897902, -73.63954970836002),(45.45934931507651, -73.63959902017432),(45.45929344204352, -73.63945108473143),(45.45958477939302, -73.63922918156709),(45.45963799153173, -73.6393600475358),(45.45968056120651, -73.63932780519568),(45.45996790567078, -73.64006748241015),(45.45993863917196, -73.64009403492554),(45.45999185097671, -73.64019645177062),(45.45987212434541, -73.6402362805437),(45.459866803155904, -73.64022679750249),(45.45971514904363, -73.64034059399702),(45.45964863395346, -73.64016041621402),(45.45962468850176, -73.6401736924717)]","rgba(255, 0, 0, 0.35)",red
52,LOY,"PT, SC, VL, VE","PT Building, SC Building, VL Building, VE Building",Oscar Peterson Concert Hall,7141 Sherbrooke W,45.459308,-73.638941,"[(45.4588542923472, -73.63901887038045),(45.45883736011844, -73.6389752844826),(45.45882936434198, -73.63898199000536),(45.458630373305795, -73.63846687279006),(45.45871738641497, -73.63839847645852),(45.458704216872185, -73.63836293718795),(45.45886601390146, -73.63823821447117),(45.458852116703746, -73.63820238143363),(45.45888645148665, -73.63817354768582),(45.45886998960705, -73.63812660902659),(45.458901972683016, -73.6380997869356),(45.45888221843235, -73.63804748385817),(45.45891090912747, -73.6380260261854),(45.45890103200455, -73.63800054519896),(45.45903789916416, -73.63789472406684),(45.45904589491103, -73.63791484063508),(45.45904589491103, -73.63791484063508),(45.45908069991367, -73.63788801854409),(45.45907411518508, -73.63786790197585),(45.45910186510747, -73.63784577375077),(45.459127733669874, -73.63791484063425),(45.45912161928418, -73.63791886394789),(45.45912161928418, -73.63791953450017),(45.45913149636843, -73.63794367438207),(45.45913808109032, -73.63793830996386),(45.4592128646663, -73.63813209956518),(45.459132437044644, -73.6381951314778),(45.45931181323182, -73.63866256295742),(45.45930240651505, -73.63867128013699),(45.45948384800986, -73.63913475585933),(45.45936109060541, -73.63923265648829),(45.459351683896834, -73.63920918715867),(45.45935074322588, -73.63920918715867),(45.45933522215305, -73.63922058654734),(45.459334751817465, -73.6392192454428),(45.45931781973297, -73.63917767120176),(45.45931829006872, -73.63917834175405),(45.45926373109577, -73.63922058654734),(45.459303776439874, -73.63932420489041),(45.459233696352086, -73.63938120183377),(45.45921582356158, -73.63933225151877),(45.45910764603893, -73.6394187527653),(45.45899194289434, -73.63912370976445),(45.459094476588334, -73.63903989073532),(45.45907848510722, -73.63899697538973),(45.459079896120436, -73.63899630483746),(45.45913633662038, -73.63895137783507),(45.45914997639939, -73.63898356434424),(45.45922052692781, -73.63892656740089),(45.45916314583805, -73.63877971645275),(45.459156561119094, -73.63878306921413),(45.45919559908451, -73.63888633426441),(45.45909024354966, -73.6389688121942),(45.45905073517334, -73.63886621769618)]","rgba(218, 58, 22, 0.35)",orange
53,LOY,PY,PY Building,Psychology Building,7141 Sherbrooke W,45.458938,-73.640467,"[(45.45880696858188, -73.64083719404114),(45.45877639647285, -73.64076008052956),(45.458759464220684, -73.64077147991823),(45.45867433254223, -73.64055422098299),(45.45869675129959, -73.64053646568028),(45.458667590154995, -73.64045868161206),(45.45870051402758, -73.64043185952107),(45.45869581061838, -73.64041978958014),(45.45893056731754, -73.64023306075319),(45.4589371520629, -73.64025183621688),(45.45893103765654, -73.64023306075319),(45.45893762240179, -73.64025317732143),(45.45906085106464, -73.64015661779386),(45.45922579823616, -73.64057551180699),(45.45920510342559, -73.64059160506159),(45.45920510342559, -73.64059093450929),(45.45920463308888, -73.64061038052527),(45.45920463308888, -73.64061038052527),(45.45917688321711, -73.64063317930261),(45.45916465445569, -73.64062513267531),(45.45914348928546, -73.64064055537763),(45.459126086806215, -73.64059764003204),(45.45914348928546, -73.64063921427308),(45.459126086806215, -73.64059764003204),(45.45911062927866, -73.64059457719918)]","rgba(218, 58, 22, 0.35)",orange
54,SGW,Q,Q Building,Q Annex,2010 Mackay Street,45.496648,-73.579094,"[(45.496575,-73.579199),(45.496684,-73.579102),(45.496650,-73.579027),(45.496545,-73.579135),(45.496575,-73.579199)]","rgba(255, 0, 0, 0.35)
",red
55,SGW,R,R Building,R Annex,2050 Mackay Street,45.496826,-73.579389,"[(45.496737,-73.579516),(45.496838,-73.579419),(45.496801,-73.579339),(45.496695,-73.579430),(45.496737,-73.579516)]","rgba(255, 0, 0, 0.35)
",red
56,LOY,RA,RA Building,Recreation and Athletics Complex,7200 Sherbrooke W,45.456774,-73.63761,"[(45.45684367226527, -73.63818734057112),(45.4567947551797, -73.63805993563894),(45.45669409873549, -73.63814040191191),(45.45639037819696, -73.63736786898308),(45.45672433293178, -73.63710367139063),(45.45702601676839, -73.63787189415217),(45.456959696693765, -73.63792486778196),(45.45700767292624, -73.63805562547552)]","rgba(255, 0, 0, 0.35)",red
57,LOY,RF,RF Building,Loyola Jesuit Hall and Conference Centre,7141 Sherbrooke W,45.458489,-73.641028,"[(45.458430006411916, -73.64119983085848),(45.458383022216424, -73.64107702732593),(45.45847363455838, -73.64101004358092),(45.45841434501778, -73.64085374817586),(45.45843895577806, -73.6407484880051),(45.45848929593606, -73.64071180643046),(45.45851390666365, -73.64077241077118),(45.45851390666365, -73.64077241077118),(45.45853963604915, -73.64075646226047),(45.458679469460776, -73.6407995232394),(45.45876784399811, -73.64104194060235),(45.45878574262168, -73.64103875090021),(45.458823777177976, -73.64112965741131),(45.45880364123962, -73.64114560592203),(45.45880364123962, -73.64114241621989),(45.45880923455653, -73.64116314928383),(45.458648146806716, -73.64128276311423),(45.45864367214044, -73.64127159915672),(45.45850719464809, -73.64137685932748),(45.45848527875314, -73.64131471418872),(45.45853701642582, -73.64127716326135),(45.458524787525654, -73.64124698840898),(45.45854501224376, -73.64122754239301),(45.45854501224376, -73.64122955404984),(45.45851114759541, -73.64113701783593)]","rgba(255, 0, 0, 0.35)",red
